college_name,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F_Undergrad,P_Undergrad,Outstate,Room_Board,Books,Personal,PhD,Terminal,S_F_Ratio,perc_alumni,Expend,Grad_Rate
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72
Belmont University,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49
Bemidji State University,No,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46
Benedictine College,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58
Berry College,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63
Bethany College,Yes,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48
Bethel College KS,Yes,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
Birmingham-Southern College,Yes,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14,34,8649,72
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15,55,5847,946,7844,2948,500,1680,66,68,18,19,7041,75
Bluffton College,Yes,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
Bradley University,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85
Brandeis University,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84
Brenau University,Yes,367,274,158,12,41,917,479,9592,5879,500,700,71,80,13.7,12,5935,49
Brewton-Parker College,Yes,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
Briar Cliff College,Yes,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58
Cabrini College,Yes,599,494,224,8,28,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71
Caldwell College,Yes,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55
California Polytechnic-San Luis,No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59
California State University at Fresno,No,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61
Calvin College,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
Campbellsville College,Yes,848,587,298,25,55,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49
Canisius College,Yes,2853,2193,753,16,34,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64
Capital University,Yes,1747,1382,449,34,66,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83
Capitol College,Yes,100,90,35,10,52,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52
Carleton College,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91
Carroll College,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
Carson-Newman College,Yes,1096,951,464,27,62,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67
Carthage College,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
Castleton State College,No,1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79
Catawba College,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55
Cazenovia College,Yes,3847,3433,527,9,35,1010,12,9384,4840,600,500,22,47,14.3,20,7697,118
Cedar Crest College,Yes,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74
Cedarville College,Yes,1307,1090,616,25,55,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64
Centenary College,Yes,369,312,90,12,46,396,526,11400,5400,500,760,41,85,9.5,20,9583,24
Centenary College of Louisiana,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
Central College,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67
Central Washington University,No,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
Central Wesleyan College,Yes,174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58
Centre College,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74
Chapman University,Yes,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
Christian Brothers University,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63
Claremont McKenna College,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87
Clarkson University,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77
Clemson University,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46
Coe College,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67
Colby College,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91
College Misericordia,Yes,1432,888,317,29,58,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96
College of Mount St. Joseph,Yes,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
College of Notre Dame,Yes,344,264,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43
College of Saint Rose,Yes,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
College of Santa Fe,Yes,546,447,189,16,42,873,683,11138,4138,600,1200,40,74,14,7,8820,80
College of the Holy Cross,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95
College of William and Mary,No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93
College of Wooster,Yes,2100,1883,553,29,65,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69
Colorado College,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84
Colorado State University,No,9478,6312,2194,29,65,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59
Columbia College MO,Yes,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
Concordia University CA,Yes,688,497,144,30,75,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55
Connecticut College,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91
Cornell College,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64
Culver-Stockton College,Yes,1576,1110,274,24,55,992,112,8000,3700,400,500,51,52,14.1,28,5807,51
D'Youville College,Yes,866,619,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46
Dana College,Yes,504,482,185,10,36,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54
Daniel Webster College,Yes,585,508,153,12,30,460,536,12292,4934,500,500,61,61,22.2,10,8643,72
Defiance College,Yes,571,461,174,10,26,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56
Delta State University,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58
Denison University,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81
Dordt College,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87
Drake University,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,9473,77
Drury College,Yes,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67
Earlham College,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78
East Carolina University,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58
East Texas Baptist University,Yes,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
Eastern College,Yes,458,369,165,16,42,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54
Eastern Connecticut State University,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
Elon College,Yes,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63
Embry Riddle Aeronautical University,Yes,3151,2584,958,14,40,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44
Emory University,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5,28,28457,96
Emporia State University,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50
Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67
Fairfield University,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94
Ferrum College,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22
Flagler College,Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69
Florida International University,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66
Florida Southern College,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68
Fontbonne College,Yes,291,245,126,16,49,981,337,8390,4100,350,1500,45,55,21.5,24,4607,62
Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80
Francis Marion University,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43
Franklin College,Yes,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
Franklin Pierce College,Yes,5187,4471,446,3,14,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51
Geneva College,Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74
George Fox College,Yes,809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52
Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55
Georgetown University,Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95
Georgia Institute of Technology,No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70
Georgia State University,No,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34
Georgian Court College,Yes,348,281,127,12,52,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76
Gettysburg College,Yes,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83
Goldey Beacom College,Yes,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36
Grace College and Seminary,Yes,548,428,167,18,46,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64
Graceland College,Yes,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
Grand Valley State University,No,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57
Green Mountain College,Yes,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14,24,6475,76
Guilford College,Yes,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
Gwynedd Mercy College,Yes,380,237,104,30,56,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96
Hamilton College,Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
Hampden - Sydney College,Yes,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69
Hanover College,Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64
Hardin-Simmons University,Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38
Harding University,Yes,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73
Harvey Mudd College,Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100
Hastings College,Yes,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13,17,7335,52
Hillsdale College,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12,31,12639,79
Hiram College,Yes,922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79
Hobart and William Smith Colleges,Yes,2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79
Hofstra University,Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
Hollins College,Yes,602,498,215,26,58,795,74,13470,5515,500,850,78,91,11.1,48,13957,72
Hope College,Yes,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72
Huntingdon College,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
Huntington College,Yes,450,430,125,20,46,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47
Huron University,Yes,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21
Illinois Benedictine College,Yes,607,558,269,22,47,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75
Illinois College,Yes,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52
Illinois Institute of Technology,Yes,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56
Illinois State University,No,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54
Immaculata College,Yes,268,253,103,16,44,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69
Iona College,Yes,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66
Ithaca College,Yes,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75
Jersey City State College,No,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26
John Brown University,Yes,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75
Johnson State College,No,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36
Kansas State University,No,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54
Kansas Wesleyan University,Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68
Keene State College,No,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61
Kentucky Wesleyan College,Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62
King's College,Yes,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87
King College,Yes,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65
Knox College,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79
LaGrange College,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
Lake Forest College,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
Lamar University,No,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26
Lenoir-Rhyne College,Yes,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12,20,8539,66
Lesley College,Yes,244,198,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58
LeTourneau University,Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56
Lewis and Clark College,Yes,2774,2092,482,35,64,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69
Lincoln University,No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45
Longwood College,No,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62
Louisiana State University at Baton Rouge,No,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37
Loyola College,Yes,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80
Luther College,Yes,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
Lycoming College,Yes,1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14,32,8024,72
Lynchburg College,Yes,1756,1500,366,3,21,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70
Lyndon State College,No,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
Macalester College,Yes,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
MacMurray College,Yes,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59
Malone College,Yes,874,758,428,21,46,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55
Manhattanville College,Yes,962,750,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70
Mankato State University,No,3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68
Marietta College,Yes,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96
Marist College,Yes,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69
Marquette University,Yes,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77
Marshall University,Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
Marymount Manhattan College,Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68
Marywood College,Yes,1107,859,323,13,51,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66
McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11,11,6383,32
McPherson College,Yes,420,293,93,11,32,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48
Meredith College,Yes,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82
Messiah College,Yes,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89
Miami University at Oxford,No,9239,7788,3290,35,39,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85
Michigan State University,No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14,9,10520,71
Milligan College,Yes,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12,16,8128,64
Millsaps College,Yes,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58
Milwaukee School of Engineering,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
Mississippi College,Yes,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
Mississippi University for Women,No,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
Missouri Southern State College,No,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100
Missouri Valley College,Yes,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27
Montana State University,No,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37
Montclair State University,No,5220,2128,865,19,53,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58
Morehouse College,Yes,3708,1678,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83
Morningside College,Yes,586,533,239,16,36,950,228,10520,3678,500,1000,48,68,13,32,8111,56
Morris College,Yes,882,730,330,2,13,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60
